,Open,High,Low,Close,Volume
2015-08-03 09:30:00,1214500,1215800,1214500,1214900,1028608
2015-08-03 09:30:01,1214600,1215000,1214600,1215000,1236
2015-08-03 09:30:02,1215000,1215000,1214600,1215000,3314
2015-08-03 09:30:03,1215000,1215000,1214500,1215000,6396
2015-08-03 09:30:04,1214900,1215000,1214600,1214800,2226
2015-08-03 09:30:05,1215000,1215000,1214600,1214900,3174
2015-08-03 09:30:06,1214900,1215000,1214900,1215000,601
2015-08-03 09:30:07,1214900,1215000,1214700,1215000,4400
2015-08-03 09:30:08,1214700,1215000,1214700,1215000,956
2015-08-03 09:30:09,1214700,1215000,1214700,1214800,1608
2015-08-03 09:30:10,1214900,1215000,1214700,1214700,3510
2015-08-03 09:30:11,1214700,1215000,1214600,1215000,3510
2015-08-03 09:30:12,1214799,1214999,1214601,1214800,1050
2015-08-03 09:30:13,1214601,1214800,1214601,1214799,459
2015-08-03 09:30:14,1214700,1215000,1214700,1214850,20007
2015-08-03 09:30:15,1215000,1215000,1214400,1214450,18843
2015-08-03 09:30:16,1214400,1214400,1214400,1214400,10
2015-08-03 09:30:17,1214600,1215000,1214400,1214601,1856
2015-08-03 09:30:18,1214900,1214900,1214200,1214200,4614
2015-08-03 09:30:19,1214200,1214800,1214200,1214400,1530
2015-08-03 09:30:20,1214400,1215000,1214100,1214100,6430
2015-08-03 09:30:21,1214100,1214750,1213800,1214000,41807
2015-08-03 09:30:22,1213900,1215000,1213600,1213700,4655
2015-08-03 09:30:23,1213700,1215000,1213600,1213767,17103
2015-08-03 09:30:24,1213900,1214100,1213900,1214000,11002
2015-08-03 09:30:25,1214050,1215000,1213700,1213700,8811
2015-08-03 09:30:26,1215000,1215000,1215000,1215000,1
2015-08-03 09:30:27,1214000,1214000,1213800,1214000,4499
2015-08-03 09:30:28,1214000,1214000,1213900,1213900,11046
2015-08-03 09:30:29,1213700,1215000,1213700,1215000,1999
2015-08-03 09:30:30,1213850,1215000,1213701,1215000,2177
2015-08-03 09:30:31,1214000,1214200,1214000,1214200,15719
2015-08-03 09:30:32,1214100,1214160,1213850,1213850,23766
2015-08-03 09:30:33,1215000,1215000,1213601,1214148,3301
2015-08-03 09:30:34,1214199,1214199,1214101,1214138,218
2015-08-03 09:30:35,1214000,1214100,1213750,1214000,2070
2015-08-03 09:30:36,1214000,1214727,1213700,1214727,2058
2015-08-03 09:30:37,1214000,1214000,1213999,1213999,303
2015-08-03 09:30:38,1213900,1215000,1213900,1214000,3180
2015-08-03 09:30:39,1213850,1213901,1213700,1213701,1688
2015-08-03 09:30:40,1213700,1213800,1213500,1213500,3352
2015-08-03 09:30:41,1213600,1213800,1213500,1213500,622
2015-08-03 09:30:42,1213700,1213700,1213600,1213700,900
2015-08-03 09:30:43,1213500,1213700,1213500,1213700,132
2015-08-03 09:30:44,1213699,1213699,1213500,1213500,191
2015-08-03 09:30:45,1213690,1213699,1213500,1213699,288
2015-08-03 09:30:46,1213500,1213700,1213500,1213500,849
2015-08-03 09:30:47,1213500,1213700,1213500,1213600,810
2015-08-03 09:30:48,1213500,1213600,1213400,1213500,3667
2015-08-03 09:30:49,1213500,1213550,1213200,1213300,3536
2015-08-03 09:30:50,1213283,1215000,1213200,1213300,1484
2015-08-03 09:30:51,1213220,1213350,1213200,1213300,7169
2015-08-03 09:30:52,1213410,1213410,1213200,1213200,4279
2015-08-03 09:30:53,1213400,1213400,1213200,1213260,3768
2015-08-03 09:30:54,1213350,1213388,1213200,1213388,1654
2015-08-03 09:30:55,1213200,1213200,1213200,1213200,1071
2015-08-03 09:30:56,1215000,1215000,1213000,1213000,4533
2015-08-03 09:30:57,1213000,1213100,1213000,1213000,3320
2015-08-03 09:30:58,1213000,1213100,1213000,1213000,1366
2015-08-03 09:30:59,1213000,1213199,1213000,1213000,1314
2015-08-03 09:31:00,1213000,1214200,1213000,1214200,2844
2015-08-03 09:31:01,1213239,1213239,1213000,1213000,9632
2015-08-03 09:31:02,1213090,1214700,1213090,1213110,2445
2015-08-03 09:31:03,1213150,1214500,1213000,1213120,3305
2015-08-03 09:31:04,1213100,1214001,1213000,1214001,1341
2015-08-03 09:31:05,1214000,1214190,1213100,1213200,824
2015-08-03 09:31:06,1213100,1213100,1213100,1213100,450
2015-08-03 09:31:07,1213100,1213680,1213000,1213100,3765
2015-08-03 09:31:08,1213000,1213000,1212500,1212500,25859
2015-08-03 09:31:09,1212650,1212650,1212500,1212500,8423
2015-08-03 09:31:10,1213500,1213520,1212501,1212700,2614
2015-08-03 09:31:11,1212650,1212650,1212550,1212550,4000
2015-08-03 09:31:12,1212600,1212800,1212500,1212800,11672
2015-08-03 09:31:13,1212800,1213199,1212800,1213000,7434
2015-08-03 09:31:14,1212900,1213101,1212900,1213101,1501
2015-08-03 09:31:15,1213018,1213025,1212600,1213000,5745
2015-08-03 09:31:16,1213000,1213000,1212691,1212691,2713
2015-08-03 09:31:17,1212700,1212900,1212600,1212900,4925
2015-08-03 09:31:18,1212900,1213000,1212700,1212700,3685
2015-08-03 09:31:19,1212819,1213000,1212800,1212900,3723
2015-08-03 09:31:20,1212900,1212900,1212800,1212900,3894
2015-08-03 09:31:21,1212900,1212900,1212700,1212701,3798
2015-08-03 09:31:22,1212700,1212900,1212600,1212600,9958
2015-08-03 09:31:23,1212899,1212900,1212700,1212900,8155
2015-08-03 09:31:24,1212900,1213000,1212700,1212701,2238
2015-08-03 09:31:25,1212900,1213000,1212800,1212800,4348
2015-08-03 09:31:26,1212999,1213000,1212800,1213000,5535
2015-08-03 09:31:27,1212999,1212999,1212900,1212900,2101
2015-08-03 09:31:28,1212999,1212999,1212899,1212900,919
2015-08-03 09:31:29,1212850,1212900,1212800,1212900,2500
2015-08-03 09:31:30,1213000,1213000,1212900,1212900,414
2015-08-03 09:31:31,1212999,1212999,1212893,1212930,5558
2015-08-03 09:31:32,1212801,1212990,1212700,1212800,18736
2015-08-03 09:31:33,1212761,1215000,1212761,1212900,702
2015-08-03 09:31:34,1212800,1213000,1212800,1212900,797
2015-08-03 09:31:35,1212900,1215000,1212900,1212940,2674
2015-08-03 09:31:36,1212901,1212963,1212900,1212963,1023
2015-08-03 09:31:37,1212900,1212950,1212700,1212950,3312
2015-08-03 09:31:38,1212839,1212839,1212839,1212839,1000
2015-08-03 09:31:39,1212800,1212899,1212800,1212899,778
2015-08-03 09:31:40,1212800,1212800,1212800,1212800,72
2015-08-03 09:31:41,1212850,1213000,1212800,1213000,7330
2015-08-03 09:31:42,1213000,1213000,1212801,1212801,2166
2015-08-03 09:31:43,1212900,1212900,1212801,1212850,1700
2015-08-03 09:31:44,1212899,1212900,1212801,1212900,11920
2015-08-03 09:31:45,1212900,1212900,1212800,1212800,5686
2015-08-03 09:31:46,1212801,1212801,1212600,1212600,1681
2015-08-03 09:31:47,1212700,1212800,1212575,1212800,8409
2015-08-03 09:31:48,1212799,1212800,1212600,1212700,13172
2015-08-03 09:31:49,1212799,1212799,1212600,1212600,1058
2015-08-03 09:31:50,1212600,1212799,1212500,1212600,4144
2015-08-03 09:31:51,1212742,1212800,1212700,1212700,2935
2015-08-03 09:31:52,1212779,1212779,1212650,1212650,1090
2015-08-03 09:31:53,1212700,1212800,1212600,1212680,657
2015-08-03 09:31:54,1212700,1212799,1212650,1212799,416
2015-08-03 09:31:55,1212800,1212800,1212600,1212600,3435
2015-08-03 09:31:56,1212700,1212800,1212500,1212500,11419
2015-08-03 09:31:57,1212500,1212699,1212500,1212500,16167
2015-08-03 09:31:58,1212500,1212700,1212500,1212600,2731
2015-08-03 09:31:59,1212599,1212600,1212300,1212400,6197
2015-08-03 09:32:00,1212400,1212600,1212300,1212300,2651
2015-08-03 09:32:01,1212353,1212400,1212200,1212400,2231
2015-08-03 09:32:02,1212399,1212400,1212100,1212400,8009
2015-08-03 09:32:03,1212300,1212372,1212200,1212300,7247
2015-08-03 09:32:04,1212300,1212300,1212150,1212200,1800
2015-08-03 09:32:05,1212100,1212299,1212000,1212000,983
2015-08-03 09:32:06,1212070,1212080,1211600,1211700,19831
2015-08-03 09:32:07,1211500,1211750,1211200,1211200,5061
2015-08-03 09:32:08,1211200,1212000,1211100,1211100,11158
2015-08-03 09:32:09,1211100,1211100,1211050,1211050,7186
2015-08-03 09:32:10,1211100,1211200,1211000,1211001,9678
2015-08-03 09:32:11,1211000,1211200,1210700,1211200,31066
2015-08-03 09:32:12,1211150,1211171,1211050,1211130,10733
2015-08-03 09:32:13,1211100,1211200,1211100,1211200,1001
2015-08-03 09:32:14,1211150,1211200,1211100,1211100,10704
2015-08-03 09:32:15,1211200,1211450,1211153,1211450,6711
2015-08-03 09:32:16,1211450,1211650,1211150,1211650,16113
2015-08-03 09:32:17,1211700,1211800,1211700,1211799,785
2015-08-03 09:32:18,1211700,1211700,1211401,1211401,2317
2015-08-03 09:32:19,1211400,1211800,1211400,1211600,2706
2015-08-03 09:32:20,1211600,1211600,1211500,1211500,1140
2015-08-03 09:32:21,1211600,1212000,1211600,1212000,4752
2015-08-03 09:32:22,1212000,1212030,1211700,1212000,3623
2015-08-03 09:32:23,1212099,1212100,1212000,1212000,602
2015-08-03 09:32:24,1212000,1212100,1211800,1212000,7619
2015-08-03 09:32:25,1212000,1212050,1211950,1211950,7800
2015-08-03 09:32:26,1212090,1212090,1211900,1212000,3820
2015-08-03 09:32:27,1212019,1212040,1212019,1212040,300
2015-08-03 09:32:28,1212099,1212100,1212000,1212000,765
2015-08-03 09:32:29,1212001,1212100,1211850,1212000,9105
2015-08-03 09:32:30,1212070,1212070,1211950,1211950,1110
2015-08-03 09:32:31,1212000,1212000,1211700,1211700,9539
2015-08-03 09:32:32,1211800,1211800,1211400,1211500,15618
2015-08-03 09:32:33,1211500,1211599,1211500,1211599,206
2015-08-03 09:32:34,1211500,1211600,1211500,1211500,2007
2015-08-03 09:32:35,1211500,1211600,1211500,1211600,6982
2015-08-03 09:32:36,1211550,1211600,1211550,1211600,4200
2015-08-03 09:32:37,1211508,1211600,1211500,1211500,3400
2015-08-03 09:32:38,1211428,1211428,1211300,1211300,1842
2015-08-03 09:32:39,1211361,1211500,1211361,1211500,485
2015-08-03 09:32:40,1211500,1211500,1211000,1211110,8155
2015-08-03 09:32:41,1211100,1211200,1210900,1210900,30552
2015-08-03 09:32:42,1211039,1211300,1210900,1211101,6089
2015-08-03 09:32:43,1211200,1211272,1210800,1210800,3040
2015-08-03 09:32:44,1210800,1210900,1210700,1210700,5160
2015-08-03 09:32:45,1210700,1210890,1210700,1210774,1650
2015-08-03 09:32:46,1210700,1210800,1210700,1210800,1900
2015-08-03 09:32:47,1210850,1210950,1210801,1210900,2772
2015-08-03 09:32:48,1210900,1210900,1210800,1210800,3013
2015-08-03 09:32:49,1210828,1210850,1210600,1210700,7793
2015-08-03 09:32:50,1210700,1210799,1210500,1210700,7003
2015-08-03 09:32:51,1210600,1210800,1210600,1210700,4674
2015-08-03 09:32:52,1210750,1210800,1210700,1210701,4242
2015-08-03 09:32:53,1210799,1210800,1210700,1210750,8683
2015-08-03 09:32:54,1210725,1210800,1210700,1210700,1886
2015-08-03 09:32:55,1210800,1210800,1210704,1210799,3454
2015-08-03 09:32:56,1210800,1210800,1210750,1210800,5753
2015-08-03 09:32:57,1210800,1210999,1210700,1210900,10754
2015-08-03 09:32:58,1210900,1211000,1210850,1210950,6495
2015-08-03 09:32:59,1211000,1211000,1210901,1210930,3128
2015-08-03 09:33:00,1211000,1211099,1210900,1211099,1501
2015-08-03 09:33:01,1211100,1211100,1211000,1211099,1789
2015-08-03 09:33:02,1211025,1211063,1211001,1211001,1768
2015-08-03 09:33:03,1211100,1211100,1211010,1211050,1125
2015-08-03 09:33:04,1211030,1211300,1211001,1211300,9845
2015-08-03 09:33:05,1211400,1211400,1211400,1211400,1648
2015-08-03 09:33:06,1211500,1211600,1211430,1211600,1380
2015-08-03 09:33:07,1211600,1211600,1211400,1211500,7017
2015-08-03 09:33:08,1211401,1211500,1211300,1211400,6292
2015-08-03 09:33:09,1211499,1211600,1211400,1211400,12575
2015-08-03 09:33:10,1211400,1211600,1211300,1211500,2973
2015-08-03 09:33:11,1211700,1211800,1211500,1211600,3696
2015-08-03 09:33:12,1211600,1211780,1211600,1211600,6358
2015-08-03 09:33:13,1211600,1211700,1211500,1211500,3072
2015-08-03 09:33:14,1211500,1211800,1211500,1211800,1070
2015-08-03 09:33:15,1211800,1211900,1211600,1211800,4287
2015-08-03 09:33:16,1211700,1211900,1211500,1211900,2514
2015-08-03 09:33:17,1211800,1212000,1211800,1212000,1980
2015-08-03 09:33:18,1211800,1211999,1211700,1211800,9568
2015-08-03 09:33:19,1211800,1211900,1211800,1211800,2600
2015-08-03 09:33:20,1211793,1211900,1211500,1211700,10990
2015-08-03 09:33:21,1211701,1211800,1211700,1211800,1331
2015-08-03 09:33:22,1211750,1211750,1211400,1211630,11452
2015-08-03 09:33:23,1211600,1211600,1211400,1211500,3981
2015-08-03 09:33:24,1211400,1211580,1211200,1211400,11254
2015-08-03 09:33:25,1211500,1211500,1211400,1211400,195
